PtsScored,QB_RTG,Avg_Pts_G,Pass_Yds,Pass_TD,Pass_Int,Rsh_Yds_Gm,Rec_Avg,Rec_Yds_Gm,Tot_FUM,Def_Pts_G,Def_Plys,Def_Yards_Play,Def_Pen_Yds,Def_FUM,Tot_Yards_Gm,HomeAway
14,96.2,26.7,4436,28,13,120.1,11.6,283.8,11,16.3,991,4.9,741,20,403.9,Home
51,93.2,23.4,4016,27,18,93.4,10.7,262.5,17,18.6,948,4.8,914,24,355.9,Home
45,103.2,28.8,4180,30,8,117.8,12.6,280.8,7,20.3,1038,5.3,840,20,398.6,Away
45,109.6,31.9,4355,34,12,131.6,11.9,280.6,11,20.3,1038,5.3,840,20,412.2,Home
14,93.2,23.4,4016,27,18,93.4,10.7,262.5,17,21.3,1044,5.5,717,18,355.9,Away
20,99.9,26,4515,34,19,80.9,11.5,287.8,7,16.3,991,4.9,741,20,368.7,Home
3,88.9,24.4,3419,21,13,137.5,11.3,227.3,8,19.2,1084,5,889,20,364.8,Away
34,107.2,29.4,4156,34,7,119.9,11.7,275.2,11,15.6,979,5.2,768,23,395.1,Home
3,97.6,22.6,4287,26,9,131.4,12.9,280.2,9,19.5,940,5.2,902,35,411.6,Away
17,63,21.8,2380,12,21,172.2,12.4,162.2,12,20,991,5.3,795,24,334.4,Away
14,104.4,28.4,4338,29,10,88.9,13.3,281.6,5,14.8,953,4.2,680,22,370.5,Home
30,99.9,26,4515,34,19,80.9,11.5,287.8,7,14.8,953,4.2,680,22,368.7,Home
17,63,21.8,2380,12,21,172.2,12.4,162.2,12,19.2,1084,5,889,20,334.4,Away
31,109.6,31.9,4355,34,12,131.6,11.9,280.6,11,19.5,940,5.2,902,35,412.2,Home
28,107.2,29.4,4156,34,7,119.9,11.7,275.2,11,21.3,1044,5.5,717,18,395.1,Away
30,96.9,26.7,4674,31,15,73.6,11.7,304.7,11,20.3,998,5.6,854,18,378.3,Home
24,87.7,24.4,3336,16,11,152.7,13,215,11,26.6,993,5.3,816,26,367.7,Away
23,105.5,27.4,3858,34,11,107.9,12.8,250.6,7,18.6,983,5.1,543,24,358.5,Home
17,95,23.6,4094,27,12,79.6,10.6,261.2,8,21.7,1041,5.4,708,18,340.8,Away
27,80.3,24.1,2808,16,12,148.5,11.8,192.8,16,19.8,979,5.4,615,27,341.3,Away
9,97.4,21.6,3632,20,7,118.6,11.4,235.1,12,15.2,928,4.5,792,21,353.7,Home
26,86.4,26,3911,23,16,106.1,11.2,253.8,8,20.8,946,4.9,1002,34,359.9,Away
14,95.4,23.7,2956,22,17,146.1,12,201.1,18,18.1,994,4.4,593,26,347.2,Home
13,80.3,24.1,2808,16,12,148.5,11.8,192.8,16,14.6,1022,4.6,750,28,341.3,Away
10,80.2,23.4,2819,13,9,137.4,11,181.4,10,15.2,928,4.5,792,21,318.8,Home
33,96.9,26.7,4674,31,15,73.6,11.7,304.7,11,20.6,1026,5.2,736,25,378.3,Away
13,84.7,25.9,3158,15,12,152.3,13.4,205.5,8,26.6,993,5.3,816,26,357.8,Home
23,86.4,26,3911,23,16,106.1,11.2,253.8,8,18.4,931,5,866,22,359.9,Away
11,86.4,26.7,3177,23,10,157.4,11.3,209.6,9,18.1,994,4.4,593,26,367,Home
35,80.1,21.7,3301,19,15,105.6,11.8,192.8,9,21.7,1041,5.4,708,18,298.4,Away
24,105.5,27.4,3858,34,11,107.9,12.8,250.6,7,13.9,974,3.9,801,22,358.5,Home
32,96.9,26.7,4674,31,15,73.6,11.7,304.7,11,18.1,994,4.4,593,26,378.3,Home
25,86.4,26,3911,23,16,106.1,11.2,253.8,8,26.6,993,5.3,816,26,359.9,Away
23,80.1,21.7,3301,19,15,105.6,11.8,192.8,9,15.2,928,4.5,792,21,298.4,Home
14,80.3,24.1,2808,16,12,148.5,11.8,192.8,16,13.9,974,3.9,801,22,341.3,Away
